,model.name,model.title,citation.openAccessPdf,manual,Secondary use of the <model.name> (if applicable),Citation Sentence,Does the paper introduce a new model?,"If yes, what is the name of the model? (not named is fine)",Does the paper use AI model?,"If yes, which model it is using?",Notes,MCLLM,MC
1,MobileNet,MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications,https://www.frontiersin.org/articles/10.3389/fpls.2023.1308528/pdf?isPublishedV2=False,Uses,,Depthwise separable convolutions boosted computational efficiency in MobileNetV1 Howard et al. (2017). MobileNetV2 added a resource-efficient block with inverted residuals and linear bottlenecks to improve efficiency Howard et al. (2018).,No,,Yes,,Good example how models detect plant disease in agricultural applications.,background,background
3,Robot Parkour,Robot Parkour Learning,https://arxiv.org/pdf/2310.04828,Background,,"Recent advancements in reinforcement learning (RL) and optimal control have empowered quadrupedal robots to per- form a series of dynamic tasks, such as navigating diverse terrains in the wild [1], [2], [3], achieving high-speed run- ning [4], [5], engaging in parkour [6], executing jumps [7], and standing up on hind legs [8], [9].",Yes,,Yes,,,background,background
4,ReLU (NORB),Rectified Linear Units Improve Restricted Boltzmann Machines,https://arxiv.org/pdf/2308.16316,Background,,"However, DM-GAN’s computational complexity and memory management pose challenges, and it relies on labeled data [154], [155].",Yes,,Yes,,,motivation,motivation
5,ERNIE 3.0,ERNIE 3.0: Large-scale Knowledge Enhanced Pre-training for Language Understanding and Generation,https://arxiv.org/pdf/2211.05994,Background,,Incorporating knowledge into PLMs can empower their memorization and reasoning [10].,No,,No,,,background,background
6,,,,Background,,ERNIE [62] proposes a multi-stage knowledge masking strategy of both entity level and phase level.,,,,,,background,background
7,ContextNet,ContextNet: Improving Convolutional Neural Networks for Automatic Speech Recognition with Global Context,https://arxiv.org/pdf/2210.15781,Extends,,"TitaNet-LID-BxRxC consists of an encoder which is a 1D depth-wise channel separable convolutional model with a ContextNet-like [20, 23] architecture and a decoder.",Yes,,Yes,,,background,background
8,,,,Background,,"Among several proposed methods [15, 18, 19, 20], ContextNet, proposed by [20], builds upon previous work [21] and incorporates a Squeeze-and-Excitation (SE) layer [22] to compress a sequence of local feature vectors into a single global context vector.",,,,,,background,background
9,,,,Background,,"In the ASR domain, [20] demonstrated that incorporating global context improved accuracy.",,,,,,background,background
16,Pluribus,Superhuman AI for multiplayer poker,https://ojs.aaai.org/index.php/AAAI/article/download/20431/20190,Background,,"Among these, the most successful examples include the CFR algorithm (Zinkevich et al. 2007) and its modern variants (Tammelin 2014; Moravcík et al. 2017; ˇ
Brown and Sandholm 2017b,a, 2019a,b; Davis, Waugh, and Bowling 2019; Farina, Kroer, and Sandholm 2021b; Morrill et al. 2021), and methods based on accelerated firstorder methods such as EGT (Nesterov 2005; Hoda et al. 2010; Kroer, Farina, and Sandholm 2018; Farina, Kroer, and Sandholm 2021a) and Mirror Prox (Nemirovski 2004; Kroer
2019; Farina, Kroer, and Sandholm 2021a), which are able to scale to large two-player extensive-form games and compute approximate Nash equilibria for moderate approximation gaps.",Yes,,Yes,,,background,background
17,,,,Background,,"Hundreds of papers have been published on it, the AAAI Annual Computer Poker Competition was organized, and superhuman AI performance has been achieved (Bowling et al. 2015; Brown and Sandholm 2017b, 2019b).",,,,,,background,background
21,ESM2-15B,Evolutionary-scale prediction of atomic level protein structure with a language model,https://www.biorxiv.org/content/biorxiv/early/2023/12/01/2023.11.30.569352.full.pdf,Uses,,"To achieve this, we first used ESM-2 8M (version 2 with 8 million 215 parameters) to generate the vectors for a set of genes",Yes,,Yes,,,uses,uses
