model.name,model.title,citation.openAccessPdf,How does it use <model.name> ?,Secondary use of the <model.name> (if applicable),Citation Sentence,Does the paper introduce a new model?,"If yes, what is the name of the model? (not named is fine)",Does the paper use AI model?,"If yes, which model it is using?",Notes
Spatially-Sparse CNN,Spatially-sparse convolutional neural networks,https://www.mdpi.com/1424-8220/23/14/6427/pdf?version=1689577851,,,,No,,No,,
MobileNet,MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications,https://www.frontiersin.org/articles/10.3389/fpls.2023.1308528/pdf?isPublishedV2=False,Uses,,Depthwise separable convolutions boosted computational efficiency in MobileNetV1 Howard et al. (2017). MobileNetV2 added a resource-efficient block with inverted residuals and linear bottlenecks to improve efficiency Howard et al. (2018).,No,,Yes,,Good example how models detect plant disease in agricultural applications.
AudioGen,AudioGen: Textually Guided Audio Generation,http://arxiv.org/pdf/2303.03857,Background,,,No,,Yes,,
Robot Parkour,Robot Parkour Learning,https://arxiv.org/pdf/2310.04828,Background,,"Recent advancements in reinforcement learning (RL) and optimal control have empowered quadrupedal robots to per- form a series of dynamic tasks, such as navigating diverse terrains in the wild [1], [2], [3], achieving high-speed run- ning [4], [5], engaging in parkour [6], executing jumps [7], and standing up on hind legs [8], [9].",Yes,,Yes,,
ReLU (NORB),Rectified Linear Units Improve Restricted Boltzmann Machines,https://arxiv.org/pdf/2308.16316,Background,,"However, DM-GAN’s computational complexity and memory management pose challenges, and it relies on labeled data [154], [155].",Yes,,Yes,,
ERNIE 3.0,ERNIE 3.0: Large-scale Knowledge Enhanced Pre-training for Language Understanding and Generation,https://arxiv.org/pdf/2211.05994,Background,,Incorporating knowledge into PLMs can empower their memorization and reasoning [10].,No,,No,,
,,,Background,,ERNIE [62] proposes a multi-stage knowledge masking strategy of both entity level and phase level.,,,,,
ContextNet,ContextNet: Improving Convolutional Neural Networks for Automatic Speech Recognition with Global Context,https://arxiv.org/pdf/2210.15781,Extends,,"TitaNet-LID-BxRxC consists of an encoder which is a 1D depth-wise channel separable convolutional model with a ContextNet-like [20, 23] architecture and a decoder.",Yes,,Yes,,
,,,Background,,"Among several proposed methods [15, 18, 19, 20], ContextNet, proposed by [20], builds upon previous work [21] and incorporates a Squeeze-and-Excitation (SE) layer [22] to compress a sequence of local feature vectors into a single global context vector.",,,,,
,,,Background,,"In the ASR domain, [20] demonstrated that incorporating global context improved accuracy.",,,,,
EfficientNetV2,EfficientNetV2: Smaller Models and Faster Training,https://arxiv.org/pdf/2301.10750,,,,,,,,
R-FCN,R-FCN: Object Detection via Region-based Fully Convolutional Networks,https://www.mdpi.com/1424-8220/23/8/3852/pdf?version=1681106508,,,,,,,,
GPT-3 175B (davinci),Language Models are Few-Shot Learners,https://www.mdpi.com/2226-471X/9/2/47/pdf?version=1706518556,,,,,,,,
CURL,CURL: Contrastive Unsupervised Representations for Reinforcement Learning,https://arxiv.org/pdf/2305.18510,,,,,,,,
SemExp,Object Goal Navigation using Goal-Oriented Semantic Exploration,http://arxiv.org/pdf/2210.09435,,,,,,,,
data2vec (speech),"data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language",https://ieeexplore.ieee.org/ielx7/6287639/6514899/10235987.pdf,,,,,,,,
Pluribus,Superhuman AI for multiplayer poker,https://ojs.aaai.org/index.php/AAAI/article/download/20431/20190,Background,,"Among these, the most successful examples include the CFR algorithm (Zinkevich et al. 2007) and its modern variants (Tammelin 2014; Moravcík et al. 2017; ˇ
Brown and Sandholm 2017b,a, 2019a,b; Davis, Waugh, and Bowling 2019; Farina, Kroer, and Sandholm 2021b; Morrill et al. 2021), and methods based on accelerated firstorder methods such as EGT (Nesterov 2005; Hoda et al. 2010; Kroer, Farina, and Sandholm 2018; Farina, Kroer, and Sandholm 2021a) and Mirror Prox (Nemirovski 2004; Kroer
2019; Farina, Kroer, and Sandholm 2021a), which are able to scale to large two-player extensive-form games and compute approximate Nash equilibria for moderate approximation gaps.",Yes,,Yes,,
,,,Background,,"Hundreds of papers have been published on it, the AAAI Annual Computer Poker Competition was organized, and superhuman AI performance has been achieved (Bowling et al. 2015; Brown and Sandholm 2017b, 2019b).",,,,,
DeBERTa,DeBERTa: Decoding-enhanced BERT with Disentangled Attention,https://arxiv.org/pdf/2308.06552,,,,,,,,
GloVe (32B),GloVe: Global Vectors for Word Representation,https://journals.tubitak.gov.tr/cgi/viewcontent.cgi?article=4022&context=elektrik,,,,,,,,
TransE,Translating Embeddings for Modeling Multi-relational Data,https://www.nature.com/articles/s42256-023-00684-8.pdf,,,,,,,,
ESM2-15B,Evolutionary-scale prediction of atomic level protein structure with a language model,https://www.biorxiv.org/content/biorxiv/early/2023/12/01/2023.11.30.569352.full.pdf,Uses,,"To achieve this, we first used ESM-2 8M (version 2 with 8 million 215 parameters) to generate the vectors for a set of genes",Yes,,Yes,,
IBM-5,The Mathematics of Statistical Machine Translation: Parameter Estimation,https://arxiv.org/pdf/1607.08692,,,,,,,,Can't find the reference of this model
LUKE,LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention,https://aclanthology.org/2021.eval4nlp-1.5.pdf,Background,,"We examined several papers with state of the art NER results on the CoNLL 2003 dataset considering guidelines 1, 2, and 3. Of these papers Liu et al. (2019) follow 1, 2, and 3. Yamada et al. (2020) explicitly follows guidelines 2 and 3. Luoma and Pyysalo (2020) met guideline 1.",No,,Yes,,
ALIGN,Scaling Up Visual and Vision-Language Representation Learning With Noisy Text Supervision,https://aclanthology.org/2023.emnlp-main.301.pdf,Background,,"Underlying several popular multimodal models like CLIP (Radford et al., 2021), DALL-E 2 (Ramesh et al., 2022) and ALIGN (Jia et al., 2021) is a pooled text encoder, i.e., a text representation model that outputs a single vector for a given input caption",No,,Yes,,
XLM,Cross-lingual Language Model Pretraining,https://aclanthology.org/2021.emnlp-main.685.pdf,Motivation,,"As different tasks have different dataset sizes, we follow Conneau and Lample (2019) to employ a balanced sampling strategy",Yes,CodeT5,Yes,CodeT5,An example to show how the paper uses a similar sampling method as the one used for the AI model
LSTM,Long Short-Term Memory,https://www.biorxiv.org/content/biorxiv/early/2024/01/25/2024.01.24.577123.full.pdf,Background,,"However, the journey is not without its challenges. Despite all recent successes, optimization remains a key concern for deep learning, and while innovations such as LSTMs (39), ResNet’s skipped-connections (40), reward shaping (41) and sensorimotor priors (42, 43) have made strides in addressing these challenges, the true potential of RL lies in its adaptability",Yes,SDS,Yes,SDS,Good example of using a previous AI model to develop a new model that finds motor control policies in complex object manipulation tasks.
,,,Motivation,,"We used the powerful onpolicy RL algorithm PPO (16) from the Stable Baselines 3 library (46) with a recurrent architecture that has LSTM layers (39) in both the actor and critic, which allowed us to deal with the partially observable environment (Fig.1).",,,,,
S4,Efficiently Modeling Long Sequences with Structured State Spaces,https://arxiv.org/pdf/2306.16524,Background,,"Earlier examples of SSM layers in deep learning model includes Structured State Space(S4) 31, its variants 32,33 and Gated State Space (GSS)34",Yes,Hyena,Yes,Hyena,
NLLB,No Language Left Behind: Scaling Human-Centered Machine Translation,https://aclanthology.org/2023.wmt-1.24.pdf,Background,,"However, it is worth noting that GPT4-5shot displayed subpar performance when applied to legal data, while NLLB_Greedy demonstrated comparatively lower performance in the context of environmental data.",No,,Yes,,Evaluation on different machine translation systems
Relational Memory Core,Relational recurrent neural networks,https://link.springer.com/content/pdf/10.1007/s10489-022-03550-z.pdf,Background,,"A variety of RL-related methods have been proposed to make RL feasible in large-scale applications. One approach is to augment the neural network with a “memory” to enhance sample efficiency in complicated environments [127, 128].",No,,No,,
Base LM + kNN LM + Continuous Cache,Generalization through Memorization: Nearest Neighbor Language Models,https://arxiv.org/pdf/2309.14928,Motivation,,"Inspired by the adapter idea in supervised methods [11, 20, 32, 52, 52], NtUA introduces weighted key-value cache which formulates the CLIP-extracted visual features as keys, the predicted pseudo-labels of target samples as values, and the corresponding pseudo-label confidence as weights of the key-value pairs as illustrated in Fig. 1.",Yes,NtUA,Yes,NtUA,
VGG19,Very Deep Convolutional Networks for Large-Scale Image Recognition,https://www.mdpi.com/1424-8220/24/1/89/pdf?version=1703323668,Differences,,"Unlike other common networks such as ResNet and VGGNet that encode images into low-resolution representations through a sequential arrangement of convolutional layers [41–43], HRNet adopts a parallel processing framework.",Yes,,,,
S-Norm,Simple and Effective Multi-Paragraph Reading Comprehension,https://www.aclweb.org/anthology/D19-5815.pdf,Background,,"Such findings indicate that there are certain shortcuts in solving reading comprehension tasks that allow a model to find the answer by superficial clues such as lexical overlap and entity types (Clark and Gardner, 2018; Sugawara et al., 2018)",No,,No,,
ProBERTa,Transforming the Language of Life: Transformer Neural Networks for Protein Prediction Tasks,https://www.biorxiv.org/content/biorxiv/early/2023/02/09/2023.02.03.526917.full.pdf,Background,,"There is growing interest in developing protein language models (pLMs) at the scale of evolution due to the abundance of 1D amino acid sequences, such as the series of ESM (Rives et al., 2019; Lin et al., 2022), TAPE (Rao et al., 2019), ProtTrans (Elnaggar et al., 2021), PRoBERTa (Nambiar et al., 2020), PMLM (He et al., 2021), ProteinLM (Xiao et al., 2021), PLUS (Min et al., 2021), Adversarial MLM (McDermott et al., 2021), ProteinBERT (Brandes et al., 2022), CARP (Yang et al., 2022a) in masked language modeling (MLM) fashion, ProtGPT2 (Ferruz et al., 2022) in causal language modeling fashion, and several others (Melnyk et al., 2022a; Madani et al., 2021; Unsal et al., 2022; Nourani et al., 2021; Lu et al., 2020; Sturmfels et al., 2020; Strodthoff et al., 2020).",Yes,LM-DESIGN,Yes,LM-DESIGN,
